identifiant;nom;nombre Velos Disponibles;nombre Places Disponibles;adresse;commune;etat;etatConnexion;type;geo
54;54 Metro Wazemmes (CB);16;4;93 RUE RACINE;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.62338, 3.051565
57;57 Barthelemy Delespaul;18;0;FACE AU 52 RUE BARTHELEMY DELESPAUL;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.62418, 3.058902
63;63 Hotel de Region (CB);12;20;BOULEVARD DU PRESIDENT HOOVER;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.629738, 3.078224
64;64 Mairie de Lille (CB);1;19;17 RUE SAINT SAUVEUR;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.6318, 3.071392
67;67 Montebello (CB);23;1;122 BOULEVARD MONTEBELLO;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.621952, 3.04534
68;68 Nationale Rue du Port;13;10;244 - 254 RUE NATIONALE;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.630836, 3.047778
74;74 Faubourg de Roubaix;17;0;104 RUE DU FAUBOURG DE ROUBAIX;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.641018, 3.082493
76;76 Fives (CB);17;7;123 RUE PIERRE LEGRAND;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.632996, 3.089651
90;90 Louviere (CB);12;8;1 RUE DU DIEU DE MARCQ;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.645107, 3.086049
93;93 Stade Ballet;14;4;85 RUE DU LONG POT;LILLE;EN SERVICE;CONNECTEE;SANS TPE;50.628918, 3.088147
95;95 Marbrerie (CB);10;8;280 BIS RUE PIERRE LEGRAND;LILLE HELLEMMES;EN SERVICE;CONNECTEE;AVEC TPE;50.63041, 3.097037
98;98 Place du Marche (CB);24;0;ANGLE DE LA RUE GAMBETTA ET LA PLACE FUSILLES ET DEPORTES;LA MADELEINE;EN SERVICE;CONNECTEE;AVEC TPE;50.6549, 3.068756
103;103 Lacordaire;7;9;44 RUE LACORDAIRE (FACE A LA PISCINE);MONS EN BAROEUL;EN SERVICE;CONNECTEE;SANS TPE;50.639828, 3.106677
107;107 Lavoisier;12;0;5 RUE LAURENT DE LAVOISIER;MONS EN BAROEUL;EN SERVICE;CONNECTEE;SANS TPE;50.636105, 3.106438
110;110 Rue Bonte-Pollet (CB);16;0;11 RUE BONTE POLLET;LILLE;EN SERVICE;CONNECTEE;AVEC TPE;50.62487, 3.034234
116;116 Botanique;16;0;185, AVENUE DE LA RÉPUBLIQUE;LA MADELEINE;EN SERVICE;CONNECTEE;SANS TPE;50.64891, 3.078336
117;117 Hippodrome (CB);11;10;9, AVENUE HENRI GRUSON;LAMBERSART;EN SERVICE;CONNECTEE;AVEC TPE;50.641617, 3.031375
120;120 Lomme Mairie;5;13;HÔTEL DE VILLE;LOMME;EN SERVICE;CONNECTEE;SANS TPE;50.639366, 3.012452
124;124 Clemenceau Hippodrome;4;13;916-920 AVENUE DE LA RÉPUBLIQ;MARCQ EN BAROEUL;EN SERVICE;CONNECTEE;SANS TPE;50.6618, 3.096235
